"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Undecided","Other","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"16","Rutgers-Eagleton","2016-09-06","2016-09-10","2016-10-13T19:41:55Z",718,"Registered Voters","Live Phone",35,59,1,6,"http://elections.huffingtonpost.com/pollster/polls/rutgers-eagleton-26163","https://eagletonpollblog.wordpress.com/2016/09/26/happy-presidential-debate-night-to-celebrate-the-latest-2016-numbers-from-the-rutgers-eagleton-poll/","Nonpartisan","None","",2
"17","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:59:45Z",912,"Registered Voters","Internet",38,53,9,NA,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25380","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"18","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:59:45Z",912,"Registered Voters","Internet",34,49,5,11,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25380","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"19","Fairleigh Dickinson","2016-06-22","2016-06-26","2016-07-20T21:31:26Z",349,"Registered Voters","Live Phone",32,44,9,15,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-24942","http://view2.fdu.edu/publicmind/2016/160629/","Nonpartisan","None","If the election for president was held today, which of the following would you vote for?",1
"20","Fairleigh Dickinson","2016-06-22","2016-06-26","2016-07-20T21:31:26Z",363,"Registered Voters","Live Phone",31,52,11,5,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-24942","http://view2.fdu.edu/publicmind/2016/160629/","Nonpartisan","None","If the election for president was held today, which of the following would you vote for?",2
"21","CBS/YouGov","2016-05-31","2016-06-03","2016-06-05T15:27:52Z",1194,"Likely Voters","Internet",34,49,8,8,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-24613","https://today.yougov.com/news/2016/06/04/democratic-primary-clinton-faces-close-race-califo/","Nonpartisan","None","",1
"22","Monmouth University","2016-05-23","2016-05-27","2016-05-31T15:04:04Z",703,"Registered Voters","Live Phone",34,38,17,11,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24572","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/71c06fa8-e277-4d82-9ac1-38fa679864c8.pdf","Nonpartisan","None","",1
"23","Monmouth University","2016-05-23","2016-05-27","2016-05-31T15:04:04Z",703,"Registered Voters","Live Phone",31,37,16,15,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-24572","http://www.monmouth.edu/assets/0/32212254770/32212254991/32212254992/32212254994/32212254995/30064771087/71c06fa8-e277-4d82-9ac1-38fa679864c8.pdf","Nonpartisan","None","",2
"24","Fairleigh Dickinson","2016-05-18","2016-05-22","2016-05-24T20:47:16Z",702,"Registered Voters","Live Phone",37,48,8,7,"http://elections.huffingtonpost.com/pollster/polls/fairleigh-dickinson-24548","http://view2.fdu.edu/publicmind/2016/160525/","Nonpartisan","None","",1
"25","Quinnipiac","2016-05-10","2016-05-16","2016-05-19T16:02:42Z",1989,"Registered Voters","Live Phone",38,45,13,3,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-24515","https://www.qu.edu/images/polling/nj/nj05192016_Nwh73tr.pdf","Nonpartisan","None","",1
"26","Rutgers-Eagleton","2016-04-01","2016-04-08","2016-04-18T19:53:50Z",738,"Registered Voters","Live Phone",36,50,3,11,"http://elections.huffingtonpost.com/pollster/polls/rutgers-eagleton-24304","http://eagletonpoll.rutgers.edu/rutgers-eagleton-2016-presidential-election-Apr2016","Nonpartisan","None","",1
