"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Trump","Clinton","Johnson","Other","Undecided","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration"
"11","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:57:31Z",329,"Likely Voters","Internet",39,58,NA,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26308","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1
"12","Ipsos/Reuters","2016-09-16","2016-10-06","2016-10-11T20:56:41Z",904,"Likely Voters","Internet",30,49,NA,NA,21,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26114","http://www.ipsos-na.com/news-polls/pressrelease.aspx?id=7407","Nonpartisan","None","",1
"13","WNEU","2016-09-24","2016-10-03","2016-10-06T22:39:01Z",403,"Likely Voters","Live Phone",26,58,7,4,5,"http://elections.huffingtonpost.com/pollster/polls/wneu-25988","http://big.assets.huffingtonpost.com/WNEU-MA-GE-10.03.2016.pdf","Nonpartisan","None","If the election for President were held today, and the candidates were Hillary Clinton, the Democrat, Donald Trump, the Republican, Gary Johnson, the Libertarian, and Jill Stein, the Green-Rainbow Party candidate, would you vote for Hillary Clinton, Donald Trump, Gary Johnson, Jill Stein, or some other candidate for President?",1
"14","WNEU","2016-09-24","2016-10-03","2016-10-06T22:39:01Z",403,"Likely Voters","Live Phone",30,65,NA,NA,5,"http://elections.huffingtonpost.com/pollster/polls/wneu-25988","http://big.assets.huffingtonpost.com/WNEU-MA-GE-10.03.2016.pdf","Nonpartisan","None","If the election for President were held today, and the candidates were just Hillary Clinton, the Democrat, and Donald Trump, the Republican, would you vote for Hillary Clinton or Donald Trump?",2
"15","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T13:06:51Z",507,"Likely Voters","Internet",41,56,NA,3,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25918","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1
"16","UMass Amherst/WBZ-TV/YouGov","2016-09-15","2016-09-20","2016-09-26T21:32:35Z",700,"Likely Voters","Internet",34,47,9,6,5,"http://elections.huffingtonpost.com/pollster/polls/umass-amherst-wbz-tv-yougov-25722","http://big.assets.huffingtonpost.com/toplines_ma_sept.pdf","Nonpartisan","None","If the presidential election were being held today, which candidate would you vote for?",1
"17","Ipsos/Reuters","2016-08-26","2016-09-15","2016-09-20T13:25:07Z",691,"Likely Voters","Internet",31,53,NA,NA,16,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25554","http://big.assets.huffingtonpost.com/Reuters.9.16.16.pdf","Nonpartisan","None","",1
"18","MassINC/WBUR","2016-09-07","2016-09-10","2016-09-14T12:28:45Z",506,"Likely Voters","Live Phone",28,54,9,7,3,"http://elections.huffingtonpost.com/pollster/polls/massinc-wbur-25478","http://www.wbur.org/politicker/2016/09/14/wbur-poll-clinton-trump-baker","Nonpartisan","None","",1
"19","MassINC/WBUR","2016-09-07","2016-09-10","2016-09-14T12:28:45Z",506,"Likely Voters","Live Phone",31,60,NA,5,5,"http://elections.huffingtonpost.com/pollster/polls/massinc-wbur-25478","http://www.wbur.org/politicker/2016/09/14/wbur-poll-clinton-trump-baker","Nonpartisan","None","",2
"20","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:27:49Z",1167,"Registered Voters","Internet",33,56,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25372","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1
"21","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T13:27:49Z",1167,"Registered Voters","Internet",29,48,11,5,6,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25372","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2
"22","Suffolk/Boston Globe","2016-05-02","2016-05-05","2016-05-09T18:46:23Z",500,"Likely Voters","Live Phone",31,55,NA,NA,14,"http://elections.huffingtonpost.com/pollster/polls/suffolk-boston-globe-24461","https://www.bostonglobe.com/metro/2016/05/08/trump-faces-steep-climb-mass/L391H6NMgi8gW3uoud0hrN/story.html","Nonpartisan","None","",1
"23","WNEU","2016-04-01","2016-04-10","2016-04-12T15:33:29Z",497,"Registered Voters","Live Phone",26,62,NA,NA,12,"http://elections.huffingtonpost.com/pollster/polls/wneu-24252","http://www1.wne.edu/assets/112/PresidentialPressRelease_FINAL_04_12_16.pdf","Nonpartisan","None","",1
